"そん",遜,"Humble"
"き",騎,"Horse"
"ちく",蓄,"Amass"
"じん",尽,"Exhaust"
"さい",彩,"Coloring"
"おく",憶,"Recollection"
"よう",溶,"Melt"
"たい",耐,"Resistant"
"おど",踊,"Dance"
"けん",賢,"Clever"
"き",輝,"Radiance"
"きょう",脅,"Threaten"
"ま",麻,"Hemp"
"とう",灯,"Lamp"
"さ",咲,"Blossom"
"ばい",培,"Cultivate"
"かい",悔,"Regret"
"わき",脇,"Armpit"
"すい",遂,"Accomplish"
"はん",班,"Squad"
"と",塗,"Paint"
"しゃ",斜,"Diagonal"
"おう",殴,"Assault"
"じゅん",盾,"Shield"
"かく",穫,"Harvest"
"きん",巾,"Towel"
"こま",駒,"Chess Piece"
"し",紫,"Purple"
"ちゅう",抽,"Pluck"
"せい",誓,"Vow"
"ご",悟,"Comprehension"
"たく",拓,"Cultivation"
"こう",拘,"Arrest"
"そ",礎,"Foundation"
"つる",鶴,"Crane"
"か",刈,"Prune"
"ごう",剛,"Sturdy"
"ゆい",唯,"Solely"
"だん",壇,"Podium"
"に",尼,"Nun"
"がい",概,"Approximation"
"しん",浸,"Immersed"
"たん",淡,"Faint"
"に",煮,"Boil"
"ふく",覆,"Capsize"
"ぼう",謀,"Conspire"
"とう",陶,"Pottery"
"かく",隔,"Isolate"
"せい",征,"Subjugate"
"へい",陛,"Highness"
"ぞく",俗,"Vulgar"
"くわ",桑,"Mulberry"
"じゅん",潤,"Watered"
"しゅ",珠,"Pearl"
"すい",衰,"Decline"
"しょう",奨,"Encourage"
"れつ",劣,"Inferiority"
"かん",勘,"Intuition"
"ひ",妃,"Princess"
"ほう",峰,"Summit"
"こう",巧,"Adept"
"じゃ",邪,"Wicked"
"だ",駄,"Burdensome"
"とう",唐,"China"
"てい",廷,"Courts"
"うつ",鬱,"Gloom"
"わに",鰐,"Alligator"
"かに",蟹,"Crab"
"ぼ",簿,"Record Book"
"しょう",彰,"Clear"
"まん",漫,"Manga"
"てい",訂,"Revise"
"し",諮,"Consult"
"めい",銘,"Inscription"
"せき",堰,"Dam"
"てい",堤,"Embankment"
"ひょう",漂,"Drift"
"ほん",翻,"Flip"
"き",軌,"Rut"
"こう",后,"Empress"
"ふん",奮,"Stirred Up"
"てい",亭,"Restaurant"
"ぎょう",仰,"Look Up To"
"はく",伯,"Chief"
"ぐう",偶,"Accidentally"
"よど",淀,"Eddy"
"ふん",墳,"Tomb"
"そう",壮,"Robust"
"は",把,"Bundle"
"はん",搬,"Transport"
"しょう",晶,"Crystal"
"どう",洞,"Cave"
"がい",涯,"Horizon"
"えき",疫,"Epidemic"
"こう",孔,"Cavity"
"うそ",嘘,"Lie"
"こう",慌,"Confused"
"あい",挨,"Push Open"
"さつ",拶,"Draw Close"
"せい",凄,"Amazing"
"け",蹴,"Kick"
"けん",喧,"Noisy"
"か",嘩,"Rowdy"
